,label,location,tweet_text
0,,Sunnyvale Trailer Park,@thehill After competing in a country that doesn’t recognize gay marriage
1,,,I just had a talk with my dad on the phone about gay marriage oh no someone send an ambulance I need medical attention.
2,,,@IamJerryPerry Brooo never was hella gay shit in movies till gay marriage was passed. Now they jus tryna force that shit
3,,Riftwalking,@LaReinaXCVI @ everyone fighting gay marriage and abortion
4,,3rd jobs suck,"Elsword: free couple ring

Me, waiting for gay marriage: what a waste"
5,,"Baton Rouge, LA","@GregCampNC @chadfelixg Wtf are you talking about? Gay marriage wasn’t a referendum, it was a SCOTUS decision just like Roe vs Wade"
6,,Belfast,@_____2016_____ @angietiggertink Flawed logic.. should they go out and try gay sex if they want to advocate same sex marriage?
7,,Atlanta,It’s hilarious that people are bent out of shape of a gay marriage figure skater. Like y’all expected him to be straight and figure skating?
8,,New Jersey,"@briscoe_sidney Biblically, there is no such thing as a gay marriage between 2 persons of the same sex."
9,,,@mygibbo @YoungLabWomen The Tories legalised gay marriage and have had two female Prime Ministers.
10,,here maybe,@BdaCoC heard about the gay marriage ban. won't spend another dollar in Bermuda again.
11,,,"@ellen_in_oregon @jeeptec420 @kinglyonhrt @FoxNews Nope, I support gay marriage 100%. How do you know if I’m married or not?"
12,,"Maryland, USA",its been 2 months since gay marriage became legal in eos congrats
13,,,@gtstronger @ggreenwald Monsters? Trump is the first president elected that was for gay marriage.
14,,"might_as_well, USA",@Fivetermer @NBCNews @NBCOUT CATHOLIC church doesn’t condone gay marriage dumbass
15,,United States,@thehill BUT VOLUNTARILY COMPETES IN SOUTH KOREA WHERE GAY MARRIAGE IS NOT ALLOWED. HMMM MAYBE SOMEONE’S BEING A LITTLE BITCH 🤔🤭
16,,,"@AsongweMaga @ABC No, Pope Francis supports gay marriage. NEXT!"
17,,,@AsongweMaga @ABC I don’t kill anything. But I support the right to choose. The Pope supports gay marriage. Is he no longer a Christian?
18,,"California, USA",@TWhorl14 @Sainthinds @AP Obama was against gay marriage in 2008. You voted for the bigot
19,,Land of Winter,"@ShadowedCipher straight marriage, gay marriage and furry marriage"
20,,United States,@BreitbartNews But he’ll skate in a country that doesn’t recognize gay marriage.
21,,,"""i aint english but u cant claim contradiction like u do! claim ur god fearing then condone gay marriage, messed up"" - Kurt Cobain 1967-1993"
22,,,"@FoxNews You know that England supports equal rights, gay marriage, and women’s rights, right? All things the GOP despises...."
23,,buffalo new york,@peady63 @thehill Obama spearheaded the legalization of gay marriage in the US...
24,,"None Of Your Damn Business, Mi",@Dr_JAVOMx @gizmosis51 @CNNPolitics gay marriage and legalizing marijuana being a couple of them
25,,"New Jersey, USA",@NBCNews @NBCOUT The Catholic Church doesn’t support gay marriage. How is this breaking news?!?!?
26,,run by @nozoelicchi,"""i dont necessarily SUPPORT gay marriage but"" okay let me just stop you right there"
27,,Johannesburg/ Bloemfontein ,"@Ms_Thuli I should tell her I am gay, maybe then she'll get off my back about this marriage talk..."
28,,"Austin, TX",@Salon if a Massachusetts gay marriage is legal in Texas then my Texas license is legal in Massachusetts. Bigots
29,,"None Of Your Damn Business, Mi",@BoostedOnix @CNNPolitics @CNN @MikePenceVP I support gay marriage and legalized marijuana I'm not right wing
30,,"Johannesburg, South Africa",@KevinWarholReal Don't you have a gay twin that lives in johannesburg for me... because you know... Marriage. Haha 😍🤣🤣🤣
31,,,@CNN Personally opposing gay marriage is now worse than killing millions of your citizens
32,,"Toronto, Ontario",@P_mathers @RealKidPoker What’s that have to do with gay marriage?
33,,edating at the ge,Listening to some people try and argue about abortion or gay marriage just rubs me the wrong way entirely
34,,USA,"@TigerfangLacey @CassandraRules Unless it’s a cake for a gay marriage, right?"
35,,LS17 - North East Leeds - 🇬🇧,@gulag1930_3 Lool went Berlin last year and there was a neo nazi group protesting gay marriage
36,,"Belfast, DUB, EDI, LON, GLAS",@JamieBrysonCPNI @AllisonMorris1 Irish language act and gay marriage with direct rule? Sounds good to me 😊
37,,,@sounddude18 @jeanjakarta @NBCNews @NBCOUT gay marriage =/= normal marriage. your brainwashing clearly went too far.
38,,"USA, AUS, ESTONIA","@9NewsAUS First gay marriage, then this"
39,,"Bristol, England",@Independent This is unfair. I thought that gay marriage was legal in the states?
40,,"Washington, DC",@cnettoo @derekahunter @benshapiro Last time I heard gay marriage was legal years ago.
